epoch,loss,mean_io_u,val_loss,val_mean_io_u,learning_rate
1,0.3696531057357788,0.24161088466644287,0.2519252896308899,0.3216543197631836,9.999999747378752e-05
2,0.13877183198928833,0.44460242986679077,0.17698818445205688,0.46099013090133667,9.999999747378752e-05
3,0.10826621204614639,0.5414875149726868,0.1202167198061943,0.5522750616073608,9.999999747378752e-05
4,0.0943002849817276,0.5963422060012817,0.16581805050373077,0.5190595388412476,9.999999747378752e-05
5,0.08725156635046005,0.6312914490699768,0.11610627919435501,0.5999752283096313,9.999999747378752e-05
6,0.0810450091958046,0.6551531553268433,0.08664954453706741,0.6540170907974243,9.999999747378752e-05
7,0.07660716772079468,0.6741284132003784,0.14306530356407166,0.5524020791053772,9.999999747378752e-05
8,0.07375901192426682,0.6864644289016724,0.2505095899105072,0.485531747341156,9.999999747378752e-05
9,0.07190109044313431,0.6941933631896973,0.1896750032901764,0.5146183371543884,9.999999747378752e-05
10,0.069410040974617,0.7070822715759277,0.11485166847705841,0.6149731874465942,9.999999747378752e-05
11,0.06400486826896667,0.7280104160308838,0.04981757700443268,0.7816005945205688,1.9999999494757503e-05
12,0.0626748651266098,0.7345284223556519,0.050196174532175064,0.7824735641479492,1.9999999494757503e-05
13,0.06123268976807594,0.7411006093025208,0.05065348744392395,0.7797608375549316,1.9999999494757503e-05
14,0.06086982041597366,0.7430791854858398,0.049943987280130386,0.781964123249054,1.9999999494757503e-05
15,0.060380175709724426,0.7464167475700378,0.05757270008325577,0.7553882002830505,1.9999999494757503e-05
16,0.059830017387866974,0.7465479969978333,0.04976372793316841,0.7796088457107544,1.9999999494757503e-05
17,0.05845196917653084,0.753030002117157,0.047135479748249054,0.7939099073410034,3.999999989900971e-06
18,0.058549463748931885,0.7523432970046997,0.047236256301403046,0.7934562563896179,3.999999989900971e-06
19,0.05845111981034279,0.7548424601554871,0.04681871458888054,0.7949459552764893,3.999999989900971e-06
20,0.057950254529714584,0.7547933459281921,0.04698717221617699,0.7946099042892456,3.999999989900971e-06
21,0.05846263840794563,0.7534809112548828,0.04669380187988281,0.7961702346801758,3.999999989900971e-06
22,0.05800724774599075,0.7553280591964722,0.04660937190055847,0.7960913777351379,3.999999989900971e-06
23,0.05780038610100746,0.7547394037246704,0.04669470712542534,0.7944220304489136,3.999999989900971e-06
24,0.05824562534689903,0.7540628910064697,0.046464502811431885,0.7964310050010681,3.999999989900971e-06
25,0.05774250626564026,0.7562856078147888,0.046600837260484695,0.7965482473373413,3.999999989900971e-06
26,0.057307664304971695,0.7575026750564575,0.0466056764125824,0.7960072755813599,3.999999989900971e-06
